location_id,pm2_5,pm10,no2,so2,o3,co,aqi,temperature,humidity,wind_speed,latitude,longitude,pollution_source
3,2.59,9.54,0.12,0.24,46.9,193.05,1,26.2,73,5.96,5.58389,-0.19968,natural
4,2.59,9.54,0.12,0.24,46.9,193.05,1,26.2,73,5.96,5.58165,-0.19898,natural
5,2.67,9.86,0.14,0.27,46.12,190.86,1,25.56,77,5.94,5.5401139,-0.2103972,natural
6,2.67,9.86,0.14,0.27,46.12,190.86,1,26.19,74,5.94,5.570722,-0.2120555,natural
7,2.67,9.86,0.14,0.27,46.12,190.86,1,26.01,74,5.95,5.567833,-0.2040278,natural
8,2.67,9.86,0.14,0.27,46.12,190.86,1,26.19,74,5.94,5.566722,-0.2077778,natural
9,2.57,9.31,0.13,0.25,45.98,191.62,1,26.83,69,6.04,5.6335571,-0.1651875,natural
10,2.57,9.31,0.13,0.25,45.98,191.62,1,27.0,68,6.04,5.6408995,-0.1695437,natural
11,2.57,9.31,0.13,0.25,45.98,191.62,1,26.93,68,6.06,5.6408137,-0.1579063,natural
12,13.59,14.89,8.43,0.73,13.6,416.32,2,29.8,74,2.91,26.519,80.233,vehicular
13,27.18,31.29,14.84,0.89,8.73,605.61,3,30.96,68,3.72,28.744,77.12,vehicular
14,0.92,1.51,0.55,0.08,44.9,86.25,1,16.28,86,4.9,-34.56,-58.506,natural
15,27.81,32.17,15.01,0.85,8.27,601.83,3,30.75,71,3.91,28.56,77.094,vehicular
16,25.94,29.9,15.04,0.99,9.96,616.91,3,30.96,68,3.86,28.6787,77.2262,vehicular
17,27.81,32.17,15.01,0.85,8.27,601.83,3,30.73,70,3.74,28.563262,77.186937,vehicular
18,15.58,16.73,10.21,2.26,5.32,464.91,2,26.19,86,2.44,21.048,105.8,vehicular
19,0.5,0.5,0.54,0.01,34.75,113.95,1,10.18,66,2.78,47.929732,106.888629,natural
21,110.65,122.22,15.51,9.18,5.17,385.45,5,23.86,81,1.28,39.95,116.47,vehicular
22,7.12,11.08,5.29,0.96,4.53,232.87,1,29.61,68,2.96,23.728,90.398,industrial
23,0.5,0.5,0.54,0.01,34.75,113.95,1,9.23,72,2.24,47.913429,106.99790699999998,natural
24,11.24,11.62,0.96,0.23,14.39,198.49,2,28.82,75,3.48,1.298,103.78,agricultural
25,11.97,14.13,8.56,0.52,45.5,259.57,2,11.16,75,1.57,-33.464142,-70.660797,vehicular
26,6.42,7.71,1.27,0.19,51.44,142.96,1,10.73,76,0.61,-36.737202,-73.104427,unknown
27,10.68,12.81,1.35,1.35,60.45,99.48,2,13.19,63,0.43,-32.924568,-71.515399,unknown
28,2.81,3.41,2.88,1.17,65.77,169.18,2,27.27,44,6.1,52.16077306,21.03916667,industrial
30,0.5,0.5,0.54,0.01,34.75,113.95,1,10.38,67,2.67,47.9329056,106.9213833,natural
31,1.04,1.52,3.1,0.37,50.05,107.96,1,22.24,59,3.47,52.11162100019676,5.708418999868416,unknown
32,95.22,105.55,10.97,5.08,2.99,325.2,5,24.54,80,0.81,40.01,116.333,vehicular
33,0.86,1.1,4.6,0.91,51.38,108.07,1,22.2,64,5.62,52.42023000014056,4.832060000156797,unknown
34,13.12,39.57,3.93,1.3,76.24,100.92,2,30.72,55,5.34,31.907,34.81,vehicular
38,8.34,9.57,4.09,0.19,43.0,229.65,1,10.05,79,1.32,-34.241168,-70.55283,unknown
39,4.4,7.27,0.06,0.15,90.12,71.91,2,15.71,64,2.82,-22.093082,-70.20121,natural
41,1.2,2.07,4.82,0.57,56.65,116.07,1,22.32,64,5.64,53.21779599995612,6.578901000005765,unknown
42,16.86,31.54,6.18,1.44,18.52,605.44,2,23.18,90,3.7,8.484,4.675,vehicular
43,3.04,3.62,2.97,1.46,70.54,165.13,2,28.11,42,3.21,52.17203333,22.27277778,industrial
44,0.63,1.02,1.1,0.09,47.65,98.04,1,21.71,59,5.87,50.90031700019946,5.986852999872599,natural
45,11.57,13.83,8.54,0.47,39.48,275.21,2,10.21,80,1.83,-33.591390623022,-70.594788,vehicular
46,0.5,0.5,0.54,0.01,34.75,113.95,1,10.33,69,2.55,47.9176056,106.9373611,natural
47,9.77,12.47,0.98,1.36,60.73,100.74,2,12.58,62,0.77,-33.049743798096,-71.614167231712,unknown
48,0.5,0.5,0.54,0.01,34.75,113.95,1,10.18,66,2.78,47.9153833,106.89419440000002,natural
49,0.54,0.69,0.28,0.08,17.57,98.41,1,29.01,66,1.99,13.797855,100.551338,natural
50,27.18,31.29,14.84,0.89,8.73,605.61,3,30.94,69,3.88,28.674045,77.131023,vehicular
51,0.94,1.27,5.17,0.97,52.32,109.16,1,22.15,65,7.79,52.80365700000841,5.050508999758845,unknown
52,0.85,1.19,2.85,0.47,51.44,105.01,1,22.22,61,5.1,51.938472000211014,4.430691999983553,unknown
53,80.97,85.19,6.56,26.95,6.87,790.39,5,21.28,92,1.45,41.78,123.42,vehicular
54,15.18,17.76,8.74,0.63,36.93,265.36,2,11.81,80,1.34,-33.673752071375,-70.953064737434,vehicular
55,0.9,1.18,3.4,0.53,50.55,107.23,1,22.35,59,5.32,52.10503099976064,5.124464000283312,unknown
57,0.62,0.98,0.6,0.21,17.96,125.79,1,29.62,70,2.05,14.040299305494,100.60873959621,natural
58,0.85,1.09,3.56,0.63,50.9,107.17,1,22.27,61,5.58,52.137949999962665,4.83819000034937,unknown
59,0.5,0.5,0.61,0.01,35.49,113.49,1,11.31,62,3.05,47.863943,106.779094,natural
60,5.02,11.48,3.76,2.37,65.67,101.13,2,20.29,69,6.92,51.599302,-0.068218,industrial
61,8.34,9.57,4.09,0.19,43.0,229.65,1,9.05,77,1.67,-34.203524,-70.529854,unknown
63,1.09,1.63,2.24,0.31,56.84,104.11,1,22.16,64,5.79,51.294498000233624,3.749483999842556,unknown
64,0.7,1.95,0.07,0.06,32.65,98.81,1,27.46,89,1.99,29.308562,-95.19991,natural
65,4.78,5.75,1.2,0.2,53.58,130.24,1,12.07,77,1.7,-36.923329602986,-73.036132300941,natural
66,0.54,0.69,0.28,0.08,17.57,98.41,1,28.96,66,2.29,13.684229480854,100.44598735492,natural
67,10.66,12.4,1.39,1.52,63.58,95.48,2,12.88,65,0.79,-32.77898790221,-71.373031276855,unknown
68,3.14,3.79,1.13,0.2,55.72,117.53,1,11.99,76,1.66,-37.021182877699,-73.149555550926,natural
69,6.42,7.71,1.27,0.19,51.44,142.96,1,11.77,76,0.63,-36.784653741124,-73.052063025795,unknown
71,0.78,1.07,1.95,0.21,48.85,102.39,1,22.16,60,5.83,51.51843999991451,5.148450000227909,unknown
72,11.56,13.37,3.48,1.1,48.47,206.47,2,11.01,84,1.16,-34.974925077541,-71.233967512329,industrial
73,0.82,1.97,1.4,0.05,60.5,82.15,2,5.64,61,2.08,-45.579045667164,-72.049964505825,natural
74,0.83,1.14,3.13,0.57,51.83,105.55,1,22.2,62,6.07,52.1678,4.50756,unknown
76,0.81,1.1,3.39,0.67,52.26,106.04,1,22.14,63,6.45,52.296555999830005,4.51081699998525,unknown
77,0.87,1.27,2.53,0.42,53.42,104.0,1,22.15,63,6.97,51.97780300022987,4.121944000373796,unknown
79,0.9,1.18,3.84,0.65,51.08,107.87,1,22.26,58,4.42,52.23510000000001,5.18155,unknown
80,0.86,1.1,4.08,0.77,51.14,107.62,1,22.21,63,5.39,52.389983000188224,4.88781099987638,unknown
81,3.14,3.79,1.13,0.2,55.72,117.53,1,11.99,76,1.66,-37.008669,-73.148086,natural
82,0.83,1.1,3.73,0.72,51.7,106.83,1,22.16,64,6.06,52.370508000029915,4.642319000180212,unknown
85,1.13,1.94,3.44,0.47,51.7,111.45,1,22.32,61,5.46,52.388271999985,6.402932999609704,unknown
86,0.84,1.32,1.83,0.21,48.25,101.94,1,22.18,59,6.85,51.5475,5.8382,natural
87,0.84,1.32,1.83,0.21,48.25,101.94,1,22.15,59,6.79,51.5359,5.80859,natural
90,0.5,0.5,0.54,0.01,34.75,113.95,1,10.99,66,2.84,47.8943389,106.8824722,natural
93,1.01,1.56,2.7,0.33,49.59,106.34,1,22.26,59,5.51,51.84137200018528,5.857776999815399,unknown
94,0.54,0.69,0.28,0.08,17.57,98.41,1,29.01,66,1.99,13.775373291477,100.56892844813,natural
95,0.86,1.1,4.08,0.77,51.14,107.62,1,22.21,63,5.16,52.359714000013874,4.866208000411839,unknown
96,0.83,1.07,4.12,0.84,52.04,107.31,1,22.11,64,6.81,52.49399200004851,4.601986000379324,unknown
97,0.83,1.07,4.12,0.84,52.04,107.31,1,22.1,64,6.71,52.46303900009865,4.60184200043928,unknown
98,0.86,1.1,4.08,0.77,51.14,107.62,1,22.21,63,5.39,52.39397200025616,4.870156999790721,unknown
99,0.61,0.97,1.04,0.08,47.95,98.13,1,22.07,59,5.04,50.8598,5.71381,natural
100,0.83,1.1,3.73,0.72,51.7,106.83,1,22.25,63,5.4,52.33400300025121,4.7740060003231,unknown
101,0.83,1.07,4.12,0.84,52.04,107.31,1,22.2,64,5.8,52.42801700027339,4.7734780002434976,unknown
102,0.86,1.1,4.08,0.77,51.14,107.62,1,22.21,63,5.36,52.381331000231505,4.845232999687698,unknown
103,25.94,29.9,15.04,0.99,9.96,616.91,3,30.92,69,3.72,28.623499999999996,77.2494,vehicular
135,0.54,0.69,0.28,0.08,17.57,98.41,1,28.88,66,2.09,13.664087,100.543436,natural
136,8.74,10.49,2.05,0.8,64.48,116.41,2,11.94,81,1.95,-32.833639,-70.99693,unknown
137,5.18,12.11,3.62,2.24,63.23,102.31,2,19.65,71,7.52,51.617327,-0.298775,industrial
138,0.54,0.69,0.28,0.08,17.57,98.41,1,29.02,67,1.86,13.792635009230002,100.59607755884,natural
139,5.39,9.59,0.06,0.42,89.27,69.25,2,13.42,61,2.0,-20.259620485825,-70.088653564453,unknown
140,5.39,9.59,0.06,0.42,89.27,69.25,2,15.99,62,1.89,-20.290859340668,-70.09955406189,unknown
141,5.37,14.4,3.12,2.26,65.0,104.7,2,19.92,72,7.38,51.48878999962389,-0.4416139999354945,industrial
142,20.31,25.41,11.65,2.99,22.98,182.05,2,19.89,90,0.98,30.63,104.07,vehicular
143,14.48,20.62,14.98,13.02,17.27,157.78,2,29.3,76,4.08,31.21,121.44,vehicular
144,17.33,20.52,13.08,6.04,17.98,242.06,2,28.92,67,3.87,23.12,113.32,vehicular
145,5.0,8.4,0.08,0.18,93.2,71.36,2,16.45,59,3.21,-22.087,-70.193253,unknown
146,5.02,11.48,3.76,2.37,65.67,101.13,2,20.29,70,6.94,51.4804994936467,-0.0595528932573422,industrial
147,4.85,10.01,4.08,2.42,66.0,99.35,2,20.08,70,6.86,51.45258,0.070766,industrial
148,5.02,11.48,3.76,2.37,65.67,101.13,2,20.12,70,6.8,51.52229,-0.125889,industrial
149,5.2,12.94,3.44,2.31,65.33,102.92,2,20.03,71,7.0,51.518948,-0.265617,industrial
150,5.02,11.48,3.76,2.37,65.67,101.13,2,19.87,69,7.01,51.58412799971813,-0.1252540000016108,industrial
151,5.02,11.48,3.76,2.37,65.67,101.13,2,20.24,69,6.71,51.5225294860844,-0.0421550991900347,industrial
152,5.02,11.48,3.76,2.37,65.67,101.13,2,19.92,70,6.86,51.54421,-0.175269,industrial
153,5.37,14.4,3.12,2.26,65.0,104.7,2,19.93,72,7.45,51.49632999971629,-0.4608609995824734,industrial
154,5.02,11.48,3.76,2.37,65.67,101.13,2,20.13,70,6.85,51.52253,-0.154611,industrial
155,5.2,12.94,3.44,2.31,65.33,102.92,2,20.05,70,6.95,51.52105,-0.2134919999999999,industrial
156,5.2,12.94,3.44,2.31,65.33,102.92,2,20.08,71,7.45,51.42099,-0.339647,industrial
157,4.85,10.01,4.08,2.42,66.0,99.35,2,20.15,69,6.31,51.4659832746662,0.184877126994369,industrial
158,5.2,12.94,3.44,2.31,65.33,102.92,2,20.0,71,7.45,51.425285999344624,-0.3456059996846904,industrial
159,5.02,11.48,3.76,2.37,65.67,101.13,2,20.21,70,6.87,51.4946699996591,-0.1319309996420449,industrial
160,1.08,2.12,0.71,0.23,54.19,113.66,1,15.42,95,8.32,55.001225,-7.329115,natural
161,0.67,1.68,1.19,0.28,31.04,102.0,1,27.28,87,1.63,29.7337263,-95.2575931,natural
162,0.96,2.05,1.06,0.25,34.84,104.79,1,27.28,88,1.85,29.670025,-95.128508,natural
163,0.73,2.85,0.18,0.11,31.51,94.46,1,27.53,89,1.38,29.144291,-95.756601,natural
164,0.76,1.65,1.75,0.38,31.3,104.96,1,27.18,87,1.2,29.81453,-95.38769,natural
165,1.44,2.13,3.7,1.16,29.57,115.62,1,26.74,91,0.96,30.2362,-95.4832,unknown
166,0.67,1.68,1.19,0.28,31.04,102.0,1,27.28,87,1.58,29.7176,-95.3414,natural
167,0.7,1.95,0.07,0.06,32.65,98.81,1,27.45,89,2.31,29.3879,-95.0414,natural
168,0.67,1.68,1.19,0.28,31.04,102.0,1,27.27,88,1.56,29.7679965,-95.2205822,natural
169,0.67,1.68,1.19,0.28,31.04,102.0,1,27.25,86,1.42,29.752778,-95.350278,natural
170,0.65,2.46,0.12,0.09,30.92,95.36,1,27.59,89,1.67,29.0437592,-95.4729462,natural
171,0.68,2.32,0.48,0.17,32.21,96.05,1,27.26,88,1.51,29.5741,-95.6497,natural
172,0.96,2.05,1.06,0.25,34.84,104.79,1,27.3,88,1.59,29.7647877,-95.1785379,natural
173,0.66,2.0,0.72,0.2,32.12,96.78,1,27.18,88,1.33,29.7233,-95.6358,natural
174,1.44,2.56,1.37,0.3,40.59,110.62,1,27.18,89,1.19,29.821389,-94.99,natural
175,0.89,2.15,0.07,0.05,34.78,101.54,1,27.45,88,2.74,29.3852338,-94.9315197,natural
176,0.63,2.4,0.07,0.08,30.15,96.43,1,27.65,88,2.01,28.96443,-95.35483,natural
177,1.1,2.11,1.56,0.34,35.94,107.79,1,27.18,89,1.18,29.8586111,-95.1602778,natural
178,1.44,2.13,3.7,1.16,29.57,115.62,1,26.51,92,1.34,30.3503017,-95.4251278,unknown
179,1.08,2.29,0.5,0.14,36.72,104.56,1,27.44,88,2.67,29.4057,-94.94712,natural
180,1.1,2.11,1.56,0.34,35.94,107.79,1,27.22,88,1.48,29.8027073,-95.1254948,natural
181,0.67,1.84,0.95,0.24,31.58,99.39,1,27.23,87,1.37,29.7216,-95.49265,natural
183,0.96,2.05,1.06,0.25,34.84,104.79,1,27.29,88,1.61,29.7616528,-95.0813861,natural
184,1.1,2.11,1.56,0.34,35.94,107.79,1,27.13,89,1.04,29.9208333,-95.0683333,natural
186,0.76,1.65,1.75,0.38,31.3,104.96,1,27.13,88,0.93,29.9011,-95.3261,natural
187,0.67,1.84,0.95,0.24,31.58,99.39,1,27.23,87,1.43,29.6958,-95.4992,natural
188,0.67,1.84,0.95,0.24,31.58,99.39,1,27.26,88,1.56,29.6239,-95.4742,natural
189,0.76,1.65,1.75,0.38,31.3,104.96,1,27.06,89,0.98,29.961944,-95.235,natural
190,1.73,2.66,3.54,1.23,35.02,117.47,1,27.04,92,1.5,30.05786,-95.06147,unknown
191,0.83,2.0,0.56,0.15,33.74,101.8,1,27.34,88,2.07,29.5831,-95.0156,natural
192,0.7,1.66,1.35,0.31,31.67,101.22,1,27.16,87,1.15,29.8342,-95.4892,natural
193,0.67,1.68,1.19,0.28,31.04,102.0,1,27.27,87,1.75,29.6256,-95.2672,natural
194,0.76,1.65,1.75,0.38,31.3,104.96,1,27.2,88,1.24,29.8280859,-95.2840958,natural
195,0.67,1.68,1.19,0.28,31.04,102.0,1,27.28,87,1.71,29.68639,-95.294724,natural
196,0.64,1.67,0.95,0.24,32.04,97.5,1,27.13,88,1.21,29.8330556,-95.6569444,natural
197,1.26,2.42,0.94,0.22,38.65,107.59,1,27.28,88,1.67,29.7330556,-94.9847222,natural
198,0.67,1.84,0.95,0.24,31.58,99.39,1,27.15,88,1.21,29.778333,-95.538056,natural
199,1.44,2.56,1.37,0.3,40.59,110.62,1,27.18,89,1.19,29.823319,-94.983786,natural
200,1.07,1.89,2.53,0.73,30.62,108.42,1,26.95,89,0.61,30.011667,-95.5225,unknown
202,0.89,2.15,0.07,0.05,34.78,101.54,1,29.0,78,3.22,29.2544736,-94.8612886,natural
203,0.58,1.68,0.56,0.16,32.41,93.8,1,27.05,89,1.34,29.8105556,-95.8061111,natural
204,0.59,1.71,0.63,0.17,30.78,99.04,1,27.29,88,1.62,29.5204432,-95.3925089,natural
205,0.84,1.7,1.68,0.46,31.47,102.42,1,26.91,91,0.85,30.039524,-95.6739508,natural
206,0.59,1.71,0.63,0.17,30.78,99.04,1,27.29,88,1.69,29.5894444,-95.3536111,natural
207,5.37,7.33,0.74,0.33,111.31,87.03,3,13.87,49,2.79,39.482481,-121.221235,unknown
209,6.84,10.14,0.26,0.09,103.93,88.12,3,14.59,66,0.59,40.539299,-112.299797,unknown
210,5.06,6.1,1.64,0.13,44.91,135.99,1,11.52,75,0.92,-36.601713211434,-72.958522830688,unknown
211,4.97,15.95,0.33,0.71,79.05,76.55,2,12.55,88,0.63,37.0481,-122.074603,unknown
212,8.2,8.89,1.32,0.36,65.35,119.27,2,21.26,84,2.66,35.408138,-94.524414,unknown
213,21.3,21.81,0.3,0.02,111.74,106.76,3,15.66,65,0.99,42.565089,-114.494717,unknown
214,5.37,7.33,0.74,0.33,111.31,87.03,3,13.87,49,2.79,39.482385,-121.221128,unknown
215,4.62,5.02,5.32,0.63,63.77,143.52,2,15.49,74,2.22,43.61,-83.36,unknown
216,4.99,5.28,1.76,1.55,85.17,122.64,2,15.93,81,1.81,41.696667,-86.214722,industrial
217,5.43,5.68,2.37,1.17,83.65,120.59,2,16.37,78,2.06,40.431667,-86.8525,unknown
218,4.99,5.18,1.93,1.36,87.9,118.98,2,17.07,80,2.08,41.617814,-87.199533,unknown
219,7.37,7.87,2.18,2.01,93.46,121.1,2,16.79,79,2.14,39.237457,-85.891332,industrial
