location_id,pm2_5,pm10,no2,so2,o3,co,aqi,temperature,humidity,wind_speed,latitude,longitude
3,2.59,9.54,0.12,0.24,46.9,193.05,1,26.2,73,5.96,5.58389,-0.19968
4,2.59,9.54,0.12,0.24,46.9,193.05,1,26.2,73,5.96,5.58165,-0.19898
5,2.67,9.86,0.14,0.27,46.12,190.86,1,25.56,77,5.94,5.5401139,-0.2103972
6,2.67,9.86,0.14,0.27,46.12,190.86,1,26.19,74,5.94,5.570722,-0.2120555
7,2.67,9.86,0.14,0.27,46.12,190.86,1,26.01,74,5.95,5.567833,-0.2040278
8,2.67,9.86,0.14,0.27,46.12,190.86,1,26.19,74,5.94,5.566722,-0.2077778
9,2.57,9.31,0.13,0.25,45.98,191.62,1,26.83,69,6.04,5.6335571,-0.1651875
10,2.57,9.31,0.13,0.25,45.98,191.62,1,27.0,68,6.04,5.6408995,-0.1695437
11,2.57,9.31,0.13,0.25,45.98,191.62,1,26.93,68,6.06,5.6408137,-0.1579063
12,13.59,14.89,8.43,0.73,13.6,416.32,2,29.8,74,2.91,26.519,80.233
13,27.18,31.29,14.84,0.89,8.73,605.61,3,30.96,68,3.72,28.744,77.12
14,0.92,1.51,0.55,0.08,44.9,86.25,1,16.28,86,4.9,-34.56,-58.506
15,27.81,32.17,15.01,0.85,8.27,601.83,3,30.75,71,3.91,28.56,77.094
16,25.94,29.9,15.04,0.99,9.96,616.91,3,30.96,68,3.86,28.6787,77.2262
17,27.81,32.17,15.01,0.85,8.27,601.83,3,30.73,70,3.74,28.563262,77.186937
18,15.58,16.73,10.21,2.26,5.32,464.91,2,26.19,86,2.44,21.048,105.8
19,0.5,0.5,0.54,0.01,34.75,113.95,1,10.18,66,2.78,47.929732,106.888629
21,110.65,122.22,15.51,9.18,5.17,385.45,5,23.86,81,1.28,39.95,116.47
22,7.12,11.08,5.29,0.96,4.53,232.87,1,29.61,68,2.96,23.728,90.398
23,0.5,0.5,0.54,0.01,34.75,113.95,1,9.23,72,2.24,47.913429,106.99790699999998
24,11.24,11.62,0.96,0.23,14.39,198.49,2,28.82,75,3.48,1.298,103.78
25,11.97,14.13,8.56,0.52,45.5,259.57,2,11.16,75,1.57,-33.464142,-70.660797
26,6.42,7.71,1.27,0.19,51.44,142.96,1,10.73,76,0.61,-36.737202,-73.104427
27,10.68,12.81,1.35,1.35,60.45,99.48,2,13.19,63,0.43,-32.924568,-71.515399
28,2.81,3.41,2.88,1.17,65.77,169.18,2,27.27,44,6.1,52.16077306,21.03916667
30,0.5,0.5,0.54,0.01,34.75,113.95,1,10.38,67,2.67,47.9329056,106.9213833
31,1.04,1.52,3.1,0.37,50.05,107.96,1,22.24,59,3.47,52.11162100019676,5.708418999868416
32,95.22,105.55,10.97,5.08,2.99,325.2,5,24.54,80,0.81,40.01,116.333
33,0.86,1.1,4.6,0.91,51.38,108.07,1,22.2,64,5.62,52.420230000140556,4.832060000156797
34,13.12,39.57,3.93,1.3,76.24,100.92,2,30.72,55,5.34,31.907,34.81
38,8.34,9.57,4.09,0.19,43.0,229.65,1,10.05,79,1.32,-34.241168,-70.55283
39,4.4,7.27,0.06,0.15,90.12,71.91,2,15.71,64,2.82,-22.093082,-70.20121
41,1.2,2.07,4.82,0.57,56.65,116.07,1,22.32,64,5.64,53.21779599995612,6.578901000005765
42,16.86,31.54,6.18,1.44,18.52,605.44,2,23.18,90,3.7,8.484,4.675
43,3.04,3.62,2.97,1.46,70.54,165.13,2,28.11,42,3.21,52.17203333,22.27277778
44,0.63,1.02,1.1,0.09,47.65,98.04,1,21.71,59,5.87,50.90031700019946,5.986852999872599
45,11.57,13.83,8.54,0.47,39.48,275.21,2,10.21,80,1.83,-33.591390623022,-70.594788
46,0.5,0.5,0.54,0.01,34.75,113.95,1,10.33,69,2.55,47.9176056,106.93736109999999
47,9.77,12.47,0.98,1.36,60.73,100.74,2,12.58,62,0.77,-33.049743798096,-71.614167231712
48,0.5,0.5,0.54,0.01,34.75,113.95,1,10.18,66,2.78,47.9153833,106.89419440000002
49,0.54,0.69,0.28,0.08,17.57,98.41,1,29.01,66,1.99,13.797855,100.551338
50,27.18,31.29,14.84,0.89,8.73,605.61,3,30.94,69,3.88,28.674045,77.131023
51,0.94,1.27,5.17,0.97,52.32,109.16,1,22.15,65,7.79,52.80365700000841,5.050508999758845
52,0.85,1.19,2.85,0.47,51.44,105.01,1,22.22,61,5.1,51.938472000211014,4.430691999983553
53,80.97,85.19,6.56,26.95,6.87,790.39,5,21.28,92,1.45,41.78,123.42
54,15.18,17.76,8.74,0.63,36.93,265.36,2,11.81,80,1.34,-33.673752071375,-70.953064737434
55,0.9,1.18,3.4,0.53,50.55,107.23,1,22.35,59,5.32,52.105030999760636,5.124464000283312
57,0.62,0.98,0.6,0.21,17.96,125.79,1,29.62,70,2.05,14.040299305494,100.60873959621
58,0.85,1.09,3.56,0.63,50.9,107.17,1,22.27,61,5.58,52.137949999962665,4.83819000034937
59,0.5,0.5,0.61,0.01,35.49,113.49,1,11.31,62,3.05,47.863943,106.779094
60,5.02,11.48,3.76,2.37,65.67,101.13,2,20.29,69,6.92,51.599302,-0.068218
61,8.34,9.57,4.09,0.19,43.0,229.65,1,9.05,77,1.67,-34.203524,-70.529854
63,1.09,1.63,2.24,0.31,56.84,104.11,1,22.16,64,5.79,51.294498000233624,3.749483999842556
64,0.7,1.95,0.07,0.06,32.65,98.81,1,27.46,89,1.99,29.308562,-95.19991
65,4.78,5.75,1.2,0.2,53.58,130.24,1,12.07,77,1.7,-36.923329602986,-73.036132300941
66,0.54,0.69,0.28,0.08,17.57,98.41,1,28.96,66,2.29,13.684229480854,100.44598735492
67,10.66,12.4,1.39,1.52,63.58,95.48,2,12.88,65,0.79,-32.77898790221,-71.373031276855
68,3.14,3.79,1.13,0.2,55.72,117.53,1,11.99,76,1.66,-37.021182877699,-73.149555550926
69,6.42,7.71,1.27,0.19,51.44,142.96,1,11.77,76,0.63,-36.784653741124,-73.052063025795
71,0.78,1.07,1.95,0.21,48.85,102.39,1,22.16,60,5.83,51.51843999991451,5.148450000227909
72,11.56,13.37,3.48,1.1,48.47,206.47,2,11.01,84,1.16,-34.974925077541,-71.233967512329
73,0.82,1.97,1.4,0.05,60.5,82.15,2,5.64,61,2.08,-45.579045667164,-72.049964505825
74,0.83,1.14,3.13,0.57,51.83,105.55,1,22.2,62,6.07,52.1678,4.50756
76,0.81,1.1,3.39,0.67,52.26,106.04,1,22.14,63,6.45,52.296555999830005,4.51081699998525
77,0.87,1.27,2.53,0.42,53.42,104.0,1,22.15,63,6.97,51.977803000229876,4.121944000373796
79,0.9,1.18,3.84,0.65,51.08,107.87,1,22.26,58,4.42,52.23510000000001,5.18155
80,0.86,1.1,4.08,0.77,51.14,107.62,1,22.21,63,5.39,52.389983000188224,4.88781099987638
