location_id,pm2_5,pm10,no2,so2,o3,co,aqi
3,2.59,9.54,0.12,0.24,46.9,193.05,1
4,2.59,9.54,0.12,0.24,46.9,193.05,1
5,2.67,9.86,0.14,0.27,46.12,190.86,1
6,2.67,9.86,0.14,0.27,46.12,190.86,1
7,2.67,9.86,0.14,0.27,46.12,190.86,1
8,2.67,9.86,0.14,0.27,46.12,190.86,1
9,2.57,9.31,0.13,0.25,45.98,191.62,1
10,2.57,9.31,0.13,0.25,45.98,191.62,1
11,2.57,9.31,0.13,0.25,45.98,191.62,1
12,13.59,14.89,8.43,0.73,13.6,416.32,2
13,27.18,31.29,14.84,0.89,8.73,605.61,3
14,0.92,1.51,0.55,0.08,44.9,86.25,1
15,27.81,32.17,15.01,0.85,8.27,601.83,3
16,25.94,29.9,15.04,0.99,9.96,616.91,3
17,27.81,32.17,15.01,0.85,8.27,601.83,3
18,15.58,16.73,10.21,2.26,5.32,464.91,2
19,0.5,0.5,0.54,0.01,34.75,113.95,1
21,110.65,122.22,15.51,9.18,5.17,385.45,5
22,7.12,11.08,5.29,0.96,4.53,232.87,1
23,0.5,0.5,0.54,0.01,34.75,113.95,1
24,11.24,11.62,0.96,0.23,14.39,198.49,2
25,11.97,14.13,8.56,0.52,45.5,259.57,2
26,6.42,7.71,1.27,0.19,51.44,142.96,1
27,10.68,12.81,1.35,1.35,60.45,99.48,2
28,2.81,3.41,2.88,1.17,65.77,169.18,2
30,0.5,0.5,0.54,0.01,34.75,113.95,1
31,1.04,1.52,3.1,0.37,50.05,107.96,1
32,95.22,105.55,10.97,5.08,2.99,325.2,5
33,0.86,1.1,4.6,0.91,51.38,108.07,1
34,13.12,39.57,3.93,1.3,76.24,100.92,2
38,8.34,9.57,4.09,0.19,43.0,229.65,1
39,4.4,7.27,0.06,0.15,90.12,71.91,2
41,1.2,2.07,4.82,0.57,56.65,116.07,1
42,16.86,31.54,6.18,1.44,18.52,605.44,2
43,3.04,3.62,2.97,1.46,70.54,165.13,2
44,0.63,1.02,1.1,0.09,47.65,98.04,1
45,11.57,13.83,8.54,0.47,39.48,275.21,2
46,0.5,0.5,0.54,0.01,34.75,113.95,1
47,9.77,12.47,0.98,1.36,60.73,100.74,2
48,0.5,0.5,0.54,0.01,34.75,113.95,1
49,0.54,0.69,0.28,0.08,17.57,98.41,1
50,27.18,31.29,14.84,0.89,8.73,605.61,3
51,0.94,1.27,5.17,0.97,52.32,109.16,1
52,0.85,1.19,2.85,0.47,51.44,105.01,1
53,80.97,85.19,6.56,26.95,6.87,790.39,5
54,15.18,17.76,8.74,0.63,36.93,265.36,2
55,0.9,1.18,3.4,0.53,50.55,107.23,1
57,0.62,0.98,0.6,0.21,17.96,125.79,1
58,0.85,1.09,3.56,0.63,50.9,107.17,1
59,0.5,0.5,0.61,0.01,35.49,113.49,1
60,5.02,11.48,3.76,2.37,65.67,101.13,2
61,8.34,9.57,4.09,0.19,43.0,229.65,1
63,1.09,1.63,2.24,0.31,56.84,104.11,1
64,0.7,1.95,0.07,0.06,32.65,98.81,1
65,4.78,5.75,1.2,0.2,53.58,130.24,1
66,0.54,0.69,0.28,0.08,17.57,98.41,1
67,10.66,12.4,1.39,1.52,63.58,95.48,2
68,3.14,3.79,1.13,0.2,55.72,117.53,1
69,6.42,7.71,1.27,0.19,51.44,142.96,1
71,0.78,1.07,1.95,0.21,48.85,102.39,1
72,11.56,13.37,3.48,1.1,48.47,206.47,2
73,0.82,1.97,1.4,0.05,60.5,82.15,2
74,0.83,1.14,3.13,0.57,51.83,105.55,1
76,0.81,1.1,3.39,0.67,52.26,106.04,1
77,0.87,1.27,2.53,0.42,53.42,104.0,1
79,0.9,1.18,3.84,0.65,51.08,107.87,1
80,0.86,1.1,4.08,0.77,51.14,107.62,1
81,3.14,3.79,1.13,0.2,55.72,117.53,1
82,0.83,1.1,3.73,0.72,51.7,106.83,1
85,1.13,1.94,3.44,0.47,51.7,111.45,1
86,0.84,1.32,1.83,0.21,48.25,101.94,1
87,0.84,1.32,1.83,0.21,48.25,101.94,1
90,0.5,0.5,0.54,0.01,34.75,113.95,1
93,1.01,1.56,2.7,0.33,49.59,106.34,1
94,0.54,0.69,0.28,0.08,17.57,98.41,1
95,0.86,1.1,4.08,0.77,51.14,107.62,1
96,0.83,1.07,4.12,0.84,52.04,107.31,1
97,0.83,1.07,4.12,0.84,52.04,107.31,1
98,0.86,1.1,4.08,0.77,51.14,107.62,1
99,0.61,0.97,1.04,0.08,47.95,98.13,1
100,0.83,1.1,3.73,0.72,51.7,106.83,1
101,0.83,1.07,4.12,0.84,52.04,107.31,1
102,0.86,1.1,4.08,0.77,51.14,107.62,1
103,25.94,29.9,15.04,0.99,9.96,616.91,3
135,0.54,0.69,0.28,0.08,17.57,98.41,1
136,8.74,10.49,2.05,0.8,64.48,116.41,2
137,5.18,12.11,3.62,2.24,63.23,102.31,2
138,0.54,0.69,0.28,0.08,17.57,98.41,1
139,5.39,9.59,0.06,0.42,89.27,69.25,2
140,5.39,9.59,0.06,0.42,89.27,69.25,2
141,5.37,14.4,3.12,2.26,65.0,104.7,2
142,20.31,25.41,11.65,2.99,22.98,182.05,2
